ID_Simulacion,Dia_Simulacion,Tipo_Evento,Cantidad,Inventario_Previo,Inventario_Posterior,Venta_Perdida,Param_CAPACIDAD_BODEGA,Param_STOCK_INICIAL,Param_PUNTO_REORDEN,Param_CANTIDAD_REABASTECIMIENTO,Param_TIEMPO_ENTRE_LLEGADAS,Param_TAMANO_PEDIDO,Param_LEAD_TIME_PROVEEDOR,Param_TIEMPO_SIMULACION
20260515_212724,178.15,Llegada Demanda (Surtida),195,1782,1587,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,180.25,Llegada Demanda (Surtida),147,1587,1440,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,180.64,Llegada Demanda (Surtida),140,1440,1300,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,182.46,Llegada Demanda (Surtida),129,1300,1171,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,185.68,Llegada Demanda (Surtida),159,1171,1012,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,186.47,Llegada Demanda (Surtida),148,1012,864,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,186.47,Emisión Pedido,2000,864,864,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,189.46,Recepción Material,2000,864,2864,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,189.75,Llegada Demanda (Surtida),71,2864,2793,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,192.88,Llegada Demanda (Surtida),168,2793,2625,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,200.72,Llegada Demanda (Surtida),180,2625,2445,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,200.75,Llegada Demanda (Surtida),138,2445,2307,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,202.94,Llegada Demanda (Surtida),183,2307,2124,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,203.08,Llegada Demanda (Surtida),132,2124,1992,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,205.77,Llegada Demanda (Surtida),147,1992,1845,0,10000,1600,1000,2000,2.0,150,2.5,210
20260515_212724,206.82,Llegada Demanda (Surtida),160,1845,1685,0,10000,1600,1000,2000,2.0,150,2.5,210
