ID_Simulacion,Dia_Simulacion,Tipo_Evento,Cantidad,Inventario_Previo,Inventario_Posterior,Venta_Perdida,Param_CAPACIDAD_BODEGA,Param_STOCK_INICIAL,Param_PUNTO_REORDEN,Param_CANTIDAD_REABASTECIMIENTO,Param_TIEMPO_ENTRE_LLEGADAS,Param_TAMANO_PEDIDO,Param_LEAD_TIME_PROVEEDOR,Param_TIEMPO_SIMULACION
20260515_200851,78.2,Llegada Demanda (Surtida),102,4469,4367,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,79.65,Llegada Demanda (Surtida),177,4367,4190,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,81.56,Llegada Demanda (Surtida),158,4190,4032,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,82.79,Llegada Demanda (Surtida),126,4032,3906,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,83.24,Llegada Demanda (Surtida),123,3906,3783,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,85.46,Llegada Demanda (Surtida),207,3783,3576,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,85.53,Llegada Demanda (Surtida),168,3576,3408,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,90.95,Llegada Demanda (Surtida),119,3408,3289,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,93.87,Llegada Demanda (Surtida),161,3289,3128,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,96.07,Llegada Demanda (Surtida),129,3128,2999,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,96.64,Llegada Demanda (Surtida),118,2999,2881,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,98.38,Llegada Demanda (Surtida),191,2881,2690,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,100.1,Llegada Demanda (Surtida),163,2690,2527,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,101.59,Llegada Demanda (Surtida),123,2527,2404,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,102.1,Llegada Demanda (Surtida),174,2404,2230,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,102.88,Llegada Demanda (Surtida),186,2230,2044,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,103.88,Llegada Demanda (Surtida),105,2044,1939,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,106.28,Llegada Demanda (Surtida),172,1939,1767,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,106.82,Llegada Demanda (Surtida),131,1767,1636,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,107.17,Llegada Demanda (Surtida),212,1636,1424,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,107.17,Emisión Pedido,5000,1424,1424,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,108.17,Llegada Demanda (Surtida),163,1424,1261,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,108.86,Recepción Material,5000,1261,6261,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,110.93,Llegada Demanda (Surtida),126,6261,6135,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,115.2,Llegada Demanda (Surtida),167,6135,5968,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,115.43,Llegada Demanda (Surtida),152,5968,5816,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,115.62,Llegada Demanda (Surtida),106,5816,5710,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,115.75,Llegada Demanda (Surtida),182,5710,5528,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,116.3,Llegada Demanda (Surtida),166,5528,5362,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,118.22,Llegada Demanda (Surtida),203,5362,5159,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,119.12,Llegada Demanda (Surtida),132,5159,5027,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,120.74,Llegada Demanda (Surtida),203,5027,4824,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,121.81,Llegada Demanda (Surtida),143,4824,4681,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,126.98,Llegada Demanda (Surtida),140,4681,4541,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,128.83,Llegada Demanda (Surtida),126,4541,4415,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,131.04,Llegada Demanda (Surtida),108,4415,4307,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,132.8,Llegada Demanda (Surtida),153,4307,4154,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,134.59,Llegada Demanda (Surtida),122,4154,4032,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,137.32,Llegada Demanda (Surtida),167,4032,3865,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,137.68,Llegada Demanda (Surtida),189,3865,3676,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,139.8,Llegada Demanda (Surtida),148,3676,3528,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,140.17,Llegada Demanda (Surtida),196,3528,3332,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,140.49,Llegada Demanda (Surtida),121,3332,3211,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,142.41,Llegada Demanda (Surtida),167,3211,3044,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,142.83,Llegada Demanda (Surtida),113,3044,2931,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,142.9,Llegada Demanda (Surtida),152,2931,2779,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,143.31,Llegada Demanda (Surtida),159,2779,2620,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,145.46,Llegada Demanda (Surtida),120,2620,2500,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,146.35,Llegada Demanda (Surtida),165,2500,2335,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,146.96,Llegada Demanda (Surtida),172,2335,2163,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,148.48,Llegada Demanda (Surtida),143,2163,2020,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,148.65,Llegada Demanda (Surtida),206,2020,1814,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,151.45,Llegada Demanda (Surtida),179,1814,1635,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,156.45,Llegada Demanda (Surtida),151,1635,1484,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,156.45,Emisión Pedido,5000,1484,1484,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,156.54,Llegada Demanda (Surtida),187,1484,1297,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,158.86,Recepción Material,5000,1297,6297,0,10000,2000,1500,5000,1.5,150,2.0,180
20260515_200851,163.97,Llegada Demanda (Surtida),122,6297,6175,0,10000,2000,1500,5000,1.5,150,2.0,180
