Scenario_ID,Escenario,CAPACIDAD_BODEGA,STOCK_INICIAL,PUNTO_REORDEN,CANTIDAD_REABASTECIMIENTO,TIEMPO_ENTRE_LLEGADAS,TAMANO_PEDIDO,LEAD_TIME_PROVEEDOR,TIEMPO_SIMULACION,STOCK_INICIAL_RATIO,PUNTO_REORDEN_RATIO,CANTIDAD_REABASTECIMIENTO_RATIO,Demanda_Diaria_Esperada,Cobertura_Inicial_Dias,Cobertura_ROP_Dias,Cobertura_Q_Dias,Brecha_LeadTime_Dias,Categoria_Riesgo,Replicas,Nivel_Servicio_mean,Nivel_Servicio_std,Nivel_Servicio_min,Nivel_Servicio_p05,Nivel_Servicio_p95,Fill_Rate_Unidades_mean,Ventas_Perdidas_mean,Ventas_Perdidas_max,Unidades_Perdidas_mean,Prob_Ruptura,Costo_Total_mean,Costo_Total_std,Costo_Total_p50,Costo_Total_p95,Costo_Total_CVaR95,Inventario_Promedio_mean,Ordenes_Proveedor_mean,Unidades_Vendidas_mean,Total_Solicitudes_mean
SCN-0093,Media demanda / Rapido proveedor / Ajustada,8000,2800,800,3600,1.8,220,1.0,120,0.35,0.1,0.45,122.2222,22.9091,6.5455,29.4545,5.5455,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,46599.2107,1810.067,47580.7655,47693.909,47706.4805,2329.5858,4.6667,15522.6667,70.0
SCN-0195,Media demanda / Lento proveedor / Ajustada,12000,4200,1200,2640,0.9,120,3.0,120,0.35,0.1,0.22,133.3333,31.5,9.0,19.8,6.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,46826.4912,767.3021,46695.048,47555.4264,47651.024,2286.6569,5.6667,16839.6667,141.3333
SCN-0199,Alta demanda / Lento proveedor / Ajustada,12000,4200,1200,2640,0.9,220,3.0,120,0.35,0.1,0.22,244.4444,17.1818,4.9091,10.8,1.9091,Bajo,3,99.0533,1.0911,97.86,98.004,99.93,98.9349,1.3333,3,322.0,66.6667,46938.1622,4101.0192,46584.9545,50742.4208,51204.3615,1871.972,10.0,28106.0,132.0
SCN-0031,Media demanda / Lento proveedor / Ajustada,8000,1440,800,3600,1.8,220,3.0,120,0.18,0.1,0.45,122.2222,11.7818,6.5455,29.4545,3.5455,Bajo,3,98.2767,2.9849,94.83,95.347,100.0,98.326,1.0,3,215.6667,33.3333,46950.4097,3501.6291,46713.8755,50179.2657,50564.309,2243.9857,4.3333,13759.6667,62.0
SCN-0207,Media demanda / Lento proveedor / Ajustada,12000,4200,1200,2640,1.8,220,3.0,120,0.35,0.1,0.22,122.2222,34.3636,9.8182,21.6,6.8182,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,47140.004,2447.8032,47479.984,49208.0389,49400.045,2396.6669,4.0,12592.3333,59.3333
SCN-0203,Baja demanda / Lento proveedor / Ajustada,12000,4200,1200,2640,1.8,120,3.0,120,0.35,0.1,0.22,66.6667,63.0,18.0,39.6,15.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,47792.4038,683.666,47821.9965,48396.9133,48460.793,2525.5039,2.3333,7824.6667,65.6667
SCN-0029,Media demanda / Rapido proveedor / Ajustada,8000,1440,800,3600,1.8,220,1.0,120,0.18,0.1,0.45,122.2222,11.7818,6.5455,29.4545,5.5455,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,48088.1023,2427.119,48194.3635,50233.7473,50460.3455,2430.8205,4.3333,14567.0,65.3333
SCN-0047,Media demanda / Lento proveedor / Ajustada,8000,1440,1760,1760,1.8,220,3.0,120,0.18,0.22,0.22,122.2222,11.7818,14.4,14.4,11.4,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,48448.398,2119.1208,49255.735,49966.2414,50045.1865,2191.5777,9.0,14850.3333,67.3333
SCN-0025,Baja demanda / Rapido proveedor / Ajustada,8000,1440,800,3600,1.8,120,1.0,120,0.18,0.1,0.45,66.6667,21.6,12.0,54.0,11.0,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,48458.2972,3873.4436,48845.5595,51795.7627,52123.563,2543.9795,2.6667,8933.3333,74.0
SCN-0107,Baja demanda / Lento proveedor / Ajustada,8000,2800,1760,1760,1.8,120,3.0,120,0.35,0.22,0.22,66.6667,42.0,26.4,26.4,23.4,Bajo,3,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,48487.7348,1744.5079,48755.9425,49949.9401,50082.6065,2453.0223,4.3333,7890.0,63.6667
